text,label
你认为人工智能会取代艺术家吗？,平静
有人偷了我辛苦种植的花！,生气
我刚刚发现我家附近有一个秘密的地下隧道！,惊讶
我今天终于拿到了我的毕业证书！,开心
我昨天和陈安羽吵架了，现在很难过。,伤心
今天有人插队，真是太不愉快了！,生气
最近工作压力很大，我担心自己做不好。,平静
你知道吗？他竟然考上了台科大！,惊讶
今天的午餐味道很奇怪，有点想吐。,厌恶
今天我们一起去看电影吗？,平静
我刚刚中了彩票，虽然只有1000块钱！,开心
最近的工作进展很糟糕，我感觉自己越来越缺乏信心。,伤心
为什么那么多人只会拖延，让我什么都做不了！,生气
这个周末要做专项报告，我很担心报告做不好。,平静
哇，他竟然在一天内就完成了这么多事情！,惊讶
这件外套穿起来很不舒服，我真的受不了。,厌恶
我终于完成了这个项目，太开心了！,开心
我的猫今天走失了，我很担心它。,伤心
那个人竟然在我说话的时候打断我，有够白痴！,生气
我对明天的面试真的很紧张，很怕没能通过。,平静
你竟然一次就解出了这么难的题！,惊讶
这家咖啡馆的咖啡真的很难喝。,厌恶
下班后要不要一起去吃饭？,平静
我真的很想放假，我不想再回到那个环境了。,伤心
我觉得现在这种情况真的很危险。,平静
为什么每次都是我被骂？,生气
你想听一个好消息！,开心
今天需要进行一些整理工作。,平静
这份报告真的是太差了。,厌恶
你认为我应该怎么做才好？,平静
我竟然忘了今天是我们的周年纪念日！,惊讶
我真的觉得一切都不顺利。,伤心
我刚刚完成了一个大项目，感觉一身轻。,开心
今天我又没有考好，真的很失望。,伤心
我对这种从未见过的状况感到非常不安。,平静
我已经告诉他很多次了，他还是不断地做错。,生气
我刚刚收到了一封很好的消息！,开心
我今天计划去超市。,平静
这部电影的剧情真的不知道在演什么。,厌恶
你认为这个主意怎么样？,平静
我竟然在海洋广场遇到了我中学同学！,惊讶
我最近感觉天在对我不公平。,伤心
我今天买到了我很想看的书。,开心
我很担心即将到来的考试会很糟糕。,平静
为什么每次都是我最后一个被通知？,生气
我计划下周去旅行。,平静
我竟然在路上看到一只熊！,惊讶
我觉得我最近的努力都没有得到回报。,伤心
我刚刚完成了一个很重要的项目。,开心
干！沈浩霖总是打断我说话。,生气
今天的天气怎么样？,平静
我听说最近有一个地方很危险，我有点担心。,平静
我真的不忍受这种无聊的会议。,厌恶
为什么我的意见总是被忽略？,生气
我最近学会了一件新事物，有点爽。,开心
昨天半夜的时候我听到奇怪的声音，我有点害怕。,平静
我今天升为主管，太高兴了！,开心
我非常不高兴王郁洁，他总是把工作推给我！,生气
那家餐厅的食物真的很难吃，让我整天心情都不好。,厌恶
最近压力很大，快要死了。,伤心
我刚刚看到一只猫从树上跳下来，还没事呢！,惊讶
我周末可以做什么？,平静
我刚刚完成了我的第一个程序报告！,开心
我有点担心明天的考试，感觉准备得不够好。,平静
我真的是受够了他怎么敢提出这样的要求！难道他没有动脑子吗？,生气
我觉得最近大家都冷淡，没人理我。,伤心
天啊！我刚刚发现我中了彩票！,惊讶
我刚刚吃到一个噁心的汉堡，吃下去真的让我差点吐出来。,厌恶
今天的天气真好，很适合打球。,开心
我最近压力很大，感觉很累。,伤心
你知道吗？我刚刚遇到了一个我以为再也见不到的人哦！,惊讶
最近疫情似乎又变得严重了，我有点担心。,平静
我刚刚在比赛中获得了第一名！,开心
我今天去了一家餐厅，天啊！服务态度超差！,厌恶
干！我的手机又坏了，唉！,生气
我最近感觉自己做什么都很不顺，有点没自信。,伤心
你知道吗？我们以前的老师现在变成了作家！,惊讶
晚上有空吗？要不要去看场电影。,平静
今天开会的时候，有人一直打断我的话，真的很不高兴。,厌恶
我已经预订了我们下周要住的酒店啦！非常期待！,开心
我最近真的觉得生活失去了方向。,伤心
最近听说公司要裁员，我很担心自己会被影响。,平静
我刚收到通知，我被清大录取了！,开心
我真的是受不了了，每次都是我加班，其他人都不做事！,生气
我真的很讨厌那些总是吹嘘自己多强的人。,厌恶
我的狗生病了，我很担心它。,伤心
你知道吗？李维哲竟然要去环游世界了！,惊讶
今晚吃什么好呢？,平静
今天我遇到的那个人真是品味很差。,厌恶
终于完成了这个项目，真是太高兴了！,开心
最近发生的事情让我感到非常压力，总是缺乏做事的动力。,伤心
我明天要去做健康检查，有点紧张。,平静
我终于写完了我的论文，真舒服！,开心
干！我的网络又断了，这是今天第三次了！,生气
今天去的那家咖啡店，环境真的很糟糕。,厌恶
最近我一直感觉心情很低落，对任何事情都缺乏热情。,伤心
我刚刚发现我的老同学现在变成了明星！,惊讶
这个周末要不要一起去公园散步？,平静
那个男人每次都说一些非常恶心的话，我真的很厌恶他。,厌恶
我刚换了新手机，超级喜欢！,开心
最近工作一直不顺利，觉得好累。,伤心
我刚才梦到被人追杀，真是太可怕了！,平静
我终于买到了那款限量版的鞋子！等了好久！,开心
我向主管反映问题，结果他完全不理我！,生气
那家餐厅的菜真的不好吃，太油了。,厌恶
最近与家人的关系有点紧张，让我心情很差。,伤心
你知道吗？张景祥竟然辞职去创办了自己的公司！,惊讶
你明天有空吗？要不要一起去喝杯咖啡。,平静
我真的无法忍受高芸茜，他真的很喜欢抱怨，一件小事就能说一整天。,厌恶
我今天终于完成了我的健身目标，我现在超级壮的，哈哈！,开心
我的朋友要搬到国外了，有点难过。,伤心
我刚刚看到新闻说最近治安不好，我有点怕出门。,平静
我今天考试拿了满分！,开心
老板竟然让我加班，明明说好下班就可以走的！,生气
我刚去的那家店服务态度很差，真的不想再去。,厌恶
我今天真的过得很糟，所有事情都不顺。,伤心
你知道吗？我刚碰到了一个小时候的朋友，真没想到会在这里遇见他！,惊讶
这个周末我们可以去爬山，你觉得怎么样？,平静
他的讲话真的有点低俗，感觉一直在嘲讽人。,厌恶
我今天完全没有想到她会送我礼物，超级开心的！,开心
我感觉最近与朋友的关系变得有点冷淡。,伤心
今天我要去看牙医，从小到现在，牙医都是我的噩梦，好紧张啊！,平静
我刚买了我一直想要的那台笔记本电脑，我存了很久的钱终于存到了，太舒服了！,开心
我订的快递竟然被弄丢了，这不是太夸张了吗！,生气
今天公司午餐的味道真的不好，非常难吃。,厌恶
我非常想念我的家人，已经很久没有见到他们了。,伤心
我刚收到一个来自陌生人寄来的包裹！,惊讶
下周有没有时间一起去看展览？,平静
那个人真的是非常不礼貌，我无法想象他的父母是如何教育他的。,厌恶
我刚学会了一个新技能，现在超有成就感！,开心
最近压力很大，感觉自己快支撑不住了。,伤心
我刚接一个陌生电话，感觉是诈骗。,平静
我终于学会了游泳！不会再被笑了！,开心
我真的不能忍受他那种自以为是的样子！,生气
今天吃的那些点心，真的很难吃。,厌恶
最近的日子过得真是难熬，感觉什么都不顺。,伤心
我刚刚在全家（便利商店）遇到了以前的老师！,惊讶
你认为处理这个问题最好是怎么做？,平静
这件衣服的材质摸起来不怎么好，完全不想穿。,厌恶
今天我发现了一家非常棒的小吃店，食物很美味又实惠！,开心
我觉得最近和朋友的关系越来越疏远，心里很难过。,伤心
我最近想换个工作。,平静
我竟然在IG上看到了我以前的同学。,惊讶
最近好像都是一个人。,伤心
今晚有什么要做吗？,平静
我实现了一个长期的目标，我非常满意。,开心
我很害怕未来要做什么。,平静
我真的很讨厌做这种繁琐的工作。,厌恶
我对这个决定很不满意。,生气
我今天打算处理一些文件。,平静
我没想到我会得到这个奖项！,惊讶
我觉得我没有得到应有的回报。,伤心
我刚刚收到一个赞，真的很开心。,开心
今天的工作还算顺利。,平静
这次演讲我非常紧张。,平静
我真的不喜欢看无聊的节目。,厌恶
为什么我总是要为别人的错误负责？,生气
我终于升职了，真的很开心！,开心
我最近学习一门新技能。,平静
我最近情绪低落，感觉自己什么都做不好。,伤心
我发现陈彦桦竟然会说西班牙语！,惊讶
为什么每次都必须在最后一刻才改变计划？,生气
我想了解更多关于海洋生态的信息。,平静
我担心我无法完成这个重要的项目。,平静
我刚买了一部新的iPhone 16，感觉真棒！,开心
我最近和陈思愷的关系变得很紧张。,伤心
我竟然在旅行中遇到了以前的同事！,惊讶
这里的食物真的很难吃。,厌恶
我最近正在整理我的日程表。,平静
我很担心这次考试会出现失常。,平静
今天的电影挺好的。,开心
我最近总是感觉很孤单。,伤心
我今天在街上看到一只很大的狗。,惊讶
这次的服务态度超差。,生气
我在考虑是否要学习新技能。,平静
我很担心未来没有工作。,平静
我今天遇到了一个很久没见的老朋友。,开心
我觉得最近做什么都感觉无助。,伤心
我的妈妈竟然为我准备了一个惊喜派对！,惊讶
我买了新的书。,平静
今天我收到了我梦寐以求的礼物！,开心
我觉得最近的努力都没有得到想要的结果。,伤心
我昨天在图书馆遇到了一位著名的作家。,惊讶
为什么每次都必须等到最后一刻才解决问题？,生气
我正在考虑换工作。,平静
我很担心在面试中表现不好。,平静
我今天尝试了一个新的食谱，结果超好吃！,开心
我最近很难找到可以休息的时间。,伤心
我竟然在Instagram上看到了一个非常奇怪的帖子。,惊讶
为什么我总是被忽视？,生气
我今天制定了一个关于工作的计划。,平静
我在新的环境中总是感到很不安。,平静
我收到了朋友送的生日礼物，超开心的！,开心
我最近感觉自己被朋友孤立了。,伤心
我昨天在街上遇到了我的偶像。,惊讶
我强烈反对这项新政策。,厌恶
我今天学到了很多新知识。,平静
我最近有点担心我的健康状况。,平静
我今天做了件很有意义的事情。,开心
最近一直感觉自己的心情处于低谷。,伤心
我在学校发现了一个非常有趣的社团。,惊讶
为什么每次都会有这么多的麻烦？,生气
我最近正在学习如何编写程序。,平静
我和朋友之间的关系变得有点紧张。,伤心
我终于完成了我一直想做的项目！,开心
我最近对我的工作环境非常不满意。,生气
我在图书馆找到了一本非常少见的书。,惊讶
我对未来的计划感到很焦虑。,平静
我真的受够了这些无聊的会议。,厌恶
我正在整理我的书桌。,平静
我今天获得了一个奖！,开心
我觉得自己在工作上没有得到应有的认可。,伤心
我昨天看了一条新闻，让我改变了我的生活。,惊讶
总是有人在会议上打断我的发言。,生气
我今天去了超市。,平静
我很担心会错过截止日期。,平静
我最近学会了一项新技能。,开心
我最近感到很孤单。,伤心
我最近遇到了以前的老朋友。,惊讶
我觉得自己总是被别人忽略。,生气
我今天有点累。,平静
我最近参加了一个有趣的营队。,开心
我对某些事情感到非常失望。,伤心
我发现了一个我从未去过的地方。,惊讶
我们昨晚玩了一个超级有趣的桌游！,开心
我昨天输了比赛。,伤心
队友总是让我很生气。,生气
最近我在玩一个新游戏。,平静
我竟然在游戏中获得了第一名。,惊讶
我今天打篮球玩得很开心。,开心
那个裁判真的很不公平，完全偏袒对方。,生气
我们今天有一场篮球比赛。,平静
我的最近表现一直没有达到预期。,伤心
我的朋友竟然打破了学校团队的纪录！,惊讶
我刚刚在Instagram上发布了一条帖子。,平静
我在IG上的帖子得到了很多点赞！,开心
我的Instagram账号被盗了。,伤心
有人对我的帖子留言了一条攻击性的评论。,生气
我看到了一条非常惊人的帖子，很多人分享了它。,惊讶
我刚学会了弹小星星，练习了很久终于学会了！,开心
今天排练的时候，他竟然又没来，每次都这样！,生气
下周的成果展示，我很紧张，担心弹错。,平静
今天社团的音响设备又出现问题，直接狂暴音。,厌恶
最近练习吉他很累，感觉自己怎么练都没进步。,伤心
你知道吗？总裁竟然在一个比赛中获得了冠军！,惊讶
我刚刚写的程序终于成功了，之前一直报错，太棒了！,开心
我的电脑突然崩溃了，他没有给我备份，我编写的程序全都没了，我快要哭了！,生气
老师说下周要交项目，我还什么都没做，头好痛！,平静
这节课的软件操作真的很复杂，我完全不明白。,厌恶
我尝试了各种方法都无法解决这个bug，感觉自己很无能为力。,伤心
老师今天居然用Python写了一个FPS游戏，太酷了！,惊讶
我刚在市场找到一个超便宜的水果摊，这些水果好新鲜啊！,开心
这个店的价格竟然比上次贵了很多，涨那么多真是太夸张了！,生气
这里人太多，我有点担心会不会被扒手盯上。,平静
这家卖的肉看起来不太新鲜，我不敢买。,厌恶
我今天没有带够钱，很多想买的东西都买不成了。,伤心
哇！这里有一个卖古董的摊位，我从来没在夜市见过这种东西！,惊讶
昨晚的比赛太精彩了！勇士队终于赢了，太棒了！,开心
法官的判决太不公平了，我觉得我们被欺负了！,生气
你知道吗？勒布朗昨晚又打破了一个纪录，太不可思议了！,惊讶
唉，洛杉矶湖人队又输了，今年季后赛估计没希望了。,伤心
我担心我们的关键球员受伤，这将影响我们进入季后赛的机会。,平静
我真的不喜欢那个球员的打法，他给我的感觉是总是想自己做。,厌恶
这里的风景太美了！真是个露营的好地方。,开心
帐篷的支架竟然坏了！真是让我气得要命。,生气
天色似乎要变黑了，我有点担心找不到回营地的路。,平静
哎，蚊子真是太多了，真的很烦。,厌恶
我们准备的食物似乎不够，感觉有点失策。,伤心
那天的星星很明亮，太美了！,惊讶
这场演唱会太棒了！现场气氛超嗨！,开心
后面那个人在不断推我，真是不礼貌！,生气
人太多了，我有点害怕出事。,平静
天啊！杨凯安竟然在台上即兴演奏，这太出乎意料了！,惊讶
这个音效听起来不太好，声音有点失真。,厌恶
唉，演唱会快结束了，真有点舍不得。,伤心
我刚中了个超大的奖！真的不敢相信！,开心
今天早上去上班时又堵车，又迟到了！,生气
我有点担心明天的面试，不知道自己准备得够不够。,平静
你知道吗？我竟然在书店遇到了我小学同学！,惊讶
这咖啡味道很奇怪，我不想喝了。,厌恶
我最近感觉自己很无用，什么事都做不好。,伤心
我刚升职了！终于等到了这一天！,开心
我今天和朋友吵架了，感觉很糟糕。,伤心
我的老板今天真是太过分了，毫无理由地指责我！,生气
我明天要参加一个很重要的面试，很紧张。,平静
你知道吗？邻居居然中了乐透！,惊讶
今天的午餐味道太恶心了，我一口也吃不下。,厌恶
周末有什么计划吗？,平静
我刚学会了做蛋糕，真是太有成就感了！,开心
我的手机昨天摔坏了，维修费用很贵，我现在心情很糟糕。,伤心
我真的是受不了了，这家公司的服务态度太差了！,生气
刚刚在路上遇到一群流浪狗，吓死我了。,平静
你听说了吗？我们学校竟然被选为全市最佳学校！,惊讶
今天的天气又闷又热，我真是受不了了。,厌恶
我该吃什么晚餐呢？,平静
我今天买到了一双限量版的鞋子，太棒了！,开心
最近压力很大，感觉很累。,伤心
那个司机竟然在红灯时加速，真是太危险了！,生气
我非常担心这次考试，感觉自己准备得不够充分。,平静
你知道吗？刘永乐竟然在一周内减掉了10公斤！,惊讶
这顿饭真的太油腻了，我吃不下了。,厌恶
下周我可能需要出差，你有什么建议吗？,平静
我刚拿到驾照了！终于可以自己开车了！,开心
我昨天的面试表现不好，感觉没机会了。,伤心
这次合作完全失败了，大家都非常不负责任！,生气
我晚上要独自去医院就诊，我有点害怕。,平静
你知道吗？我刚发现陈思愷居然是个作家！,惊讶
那家餐厅的服务态度太差，让人没心情吃饭。,厌恶
这个周末天气好吗？我想去爬山。,平静
我今天收到了公司的录取通知书！太高兴了！,开心
我的朋友要搬到另一个城市了，真的很舍不得他。,伤心
他本来答应会帮忙的，结果什么也没做！,生气
这次检查报告结果还没出来，我好紧张...,平静
你知道吗？那家超市竟然开始卖奢侈品了！,惊讶
这种天气实在太潮湿了，让人很不舒服。,厌恶
下周有一个演讲，你打算参加吗？,平静
我刚赢了一场比赛，实在是太开心了！,开心
我家养了十年的狗今天走了，我很难过。,伤心
今天有人公共汽车上大声打电话，真是让人恼火！,生气
我这些天总是感觉不舒服，是不是生病了。,平静
你不会相信，我刚刚在街上遇到了小学同学！,惊讶
这件衣服的材质摸起来刺刺的，穿着也不舒服。,厌恶
你认为这部电影值得看吗？,平静
我今天终于完成了那个难搞的项目，太开心了！,开心
今天我听到了一个坏消息，我的朋友父亲去世了...,伤心
那个人在今天又没有提交工作报告！,生气
我明天有个很重要的演讲，现在好紧张。,平静
你知道吗？我刚刚看到我们教授在打篮球！,惊讶
今天的外卖真的是太糟糕了，味道很差。,厌恶
周末有没有想去的地方？,平静
我今天中了小奖，虽然不是很多，但还是很开心！,开心
我最近心情不太好，感觉什么事都不顺利。,伤心
今天那个客户又让我等了，真是让人恼火！,生气
最近新闻说疫情又开始变严重了，我有点害怕。,平静
你知道吗？我的朋友突然决定去国外工作了！,惊讶
这杯咖啡喝起来太苦了，完全无法喝下。,厌恶
最近有什么新出的好书推荐吗？,平静
我终于学会了弹钢琴的那首曲子！,开心
今天公司拒绝了我...,伤心
那个同事今天又在会议上插嘴，真是气死我了！,生气
我非常担心下周的考试，感觉准备的不够充分。,平静
你听说了吗？我们班的那个同学获得了奖学金！,惊讶
今天的天气又热又粘，真是让人受不了。,厌恶
你今晚有空吗？我想和你聊聊。,平静
我刚刚中午抽到了免费电影票呢，超爽的！,开心
我今天和朋友吵架了，有点难过，我不知道该怎么办。,伤心
今天我的手机被偷了，真的很不开心！,生气
最近社区里好像有人遇到暴露狂，我有点担心。,平静
你知道吗？我的学长竟然自己创业开了一家公司！,惊讶
今天的面真的是煮得太软了，完全无法吃。,厌恶
你周末有空吗？想不想一起去看展览？,平静
我刚完成了一生中的第一次跳伞！那感觉真的难以忘怀！,开心
我昨天发现我种了半年多的樱花枯萎了，真的很心疼。,伤心
今天我骑车被一辆车逼到，差点被撞到，那辆车真是太愚蠢了！,生气
我明天要去参加大学的面试，有点紧张，担心表现得不好。,平静
你相信吗？我今天在西门町遇到了我国中的老师！,惊讶
今天去看了一间房子，结果环境整个超乱的，完全不是预期的样子。,厌恶
你对政府新政策有何看法？,平静
我刚学会骑摩托车了！感觉超自由的，不用再坐公交了！,开心
我刚刚送走我的最好朋友，他要去国外读书，好空虚。,伤心
今天在银行排了快一个小时，结果窗口的人办事效率超慢，浪费我的时间！,生气
最近疫情又升温了，我真的有点害怕，不敢随便出门。,平静
你知道吗？我们邻居的猫竟然学会了自己开门，真是太聪明了！,惊讶
今天我去了一家新开的餐厅，结果环境超脏，让我完全没有食欲。,厌恶
最近有什么好看的剧吗？,平静
我刚刚收到面试通知了！终于有机会去应聘我梦想中的公司！,开心
我养了五年的金鱼今天死了，我很伤心。,伤心
今天去便利店买东西，结果结账时店员的态度超差的！,生气
昨晚我听到家外有奇怪的声音，真的很吓人，不知道发生了什么事。,平静
我刚才才知道，我爸年轻时候居然是五月天的鼓手，完全没想到！,惊讶
今天坐出租车时，车内的味道很奇怪，让我差点吐了。,厌恶
下周有个朋友的生日派对，你要一起去吗？,平静
我刚获得了奖学金，完全没有想到能获得这么多！,开心
今天是我和朋友的最后一次见面，因为他要去国外定居。,伤心
今天网购的东西到货了，结果完全和图片不一样，被骗了，太气人了！,生气
最近几天一直有诈骗电话打来，我有点担心个人信息泄露了。,平静
你知道吗？我的朋友刚买了一台特斯拉，他这么年轻就这么有钱！,惊讶
今天路上有人乱扔垃圾，真是没品味！,厌恶
下周周末你有空吗？我们可以去爬象山，天气应该会不错。,平静
我今天去海边，冲浪真的很有趣！,开心
我的手机不小心掉进水里了，现在完全坏掉了，我现在头很痛。,伤心
今天外卖又迟到了，还送错了餐点，真是太夸张了！,生气
最近我晚上都睡不好，一直做噩梦。,平静
我的朋友竟然中了一百万！这也太夸张了吧！,惊讶
今天我去的那家餐厅，服务态度非常差，整个用餐过程非常不愉快！,厌恶
周日要做什么？要不要一起去看电影？,平静
我今天参加了马拉松，顺利跑完了全程！真的很有成就感！,开心
今天我收到消息，我的朋友要搬去国外，感觉心里很空虚。,伤心
今天被出租车司机绕路，结果车费比平时多了一倍，真是气死我了！,生气
最近社区好像发生了几起盗窃案，我开始有点担心家里的安全。,平静
你知道吗？我昨天在百货公司遇到了周杰伦，太意外了！,惊讶
今天去了一家餐厅，结果桌子油腻腻的，环境真的很糟糕。,厌恶
你认为这次是否应该参加学校的志愿者活动？听说挺有趣的。,平静
我今天终于有了驾照！可以自己开车了，太棒了！,开心
我的宠物生病了，很难过，不知道它会不会好起来。,伤心
今天去餐厅吃饭，结果服务态度超差，整个氛围都被搞坏了。,生气
最近经常有诈骗电话，我有点担心自己的个人信息被泄露了。,平静
你知道吗？我的朋友刚中了五千万的乐透！这也太夸张了吧！,惊讶
今天去公园野餐，结果草地上到处都是垃圾，有够脏的。,厌恶
你这个周末有没有计划？要不要一起去台中玩？,平静
我今天买到了限量版的球鞋！排队排了一整天，但超值得！,开心
我今天才知道，我喜欢的那家咖啡店要关门了，以后就无法再喝到我最喜欢的咖啡了。,伤心
今天我的电脑又挂了，让我工作进度全都延迟，还让我被老板骂，气得我！,生气
最近晚上总觉得家里附近很安静，我一个人待着有点怕。,平静
你相信吗？我今天在地铁上遇到了高中老师，真是太巧了！,惊讶
今天午餐点的外卖非常难吃，菜都冷了，真的很不开心。,厌恶
本周五有个聚餐活动，你要不要一起去？,平静
今天我和张家铭一起去看了一场演唱会，气氛太热闹了！,开心
今天我的心情很差，我家养的狗生病了，我很难过。,伤心
今天我排队排了半个小时，结果前面的人插队，店员竟然不管！,生气
最近我晚上回家时总觉得有人跟着我，感觉有点害怕。,平静
你知道吗？我今天在路上看到了一辆超酷的改装车，简直像电影里的一样！,惊讶
今天我买了一杯手摇饮，但太甜了，我快要吐了。,厌恶
这个周末天气不错，要不要一起去淡水走走？,平静
我刚刚收到了林慈亭寄来的生日礼物，超级惊喜！,开心
我非常喜欢的一个偶像宣布要退出演艺圈了，真的很难过。,伤心
今天公交车司机开得太快，差点撞到人，真是太危险了！,生气
我最近接了一个奇怪的电话，对方问了很多私人问题，我开始感到不安。,平静
你知道吗？我今天在餐厅遇到了一个电视上的知名主持人，太惊喜了！,惊讶
今天去了一家新的火锅店，结果整个环境又油又脏，真是让人大失所望。,厌恶
周末有一个市集活动，你想不想去看看？,平静
我刚刚和同学去吃了一家新开的餐厅，结果超级好吃！,开心
我的手机突然坏了，而且里面的数据都没有备份，我快要崩溃了。,伤心
今天我坐地铁时一直被推，结果手机掉到地上摔坏了，真是太气了！,生气
昨晚我独自一人在家，突然断电，整个人都吓坏了。,平静
你知道吗？我的同事竟然是个业余画家，他画的作品超级专业！,惊讶
今天的便当菜色很油腻，吃完后整个人都不舒服。,厌恶
最近有没有好看的电影？我想找时间去电影院。,平静
我刚刚去参加了一个朋友的婚礼，整个气氛超棒的，大家都好开心！,开心
今天回家时发现养了多年的植物枯萎了，感觉心里很空。,伤心
今天去超市买东西，结果结账时发现标价和实际收费不一样，感觉被骗了！,生气
最近我家附近似乎经常发生盗窃案，晚上一个人回家有点害怕。,平静
你知道吗？我在街上遇到了一个小学同学，我们已经很久没有联系了！,惊讶
今天去的一家咖啡厅，结果桌子粘粘的，环境也超脏，让人吃不下东西。,厌恶
这个周末你想不想去台北看展览？我听说有一个很有趣的艺术展。,平静
我今天在抽奖活动中中了免费机票，感觉超级幸运！,开心
我刚和朋友吵了一架，感觉很难过，现在不知道该怎么办。,伤心
今天有人违规停车，让我堵车了半个小时，浪费我的时间！,生气
最近我经常收到奇怪的诈骗短信，有点担心个人信息泄露了。,平静
你知道吗？今天在公司我发现我的老板居然会打鼓，完全没想到！,惊讶
今天午餐在一家服务很差的餐厅，他们还点错了我的菜，真的很让我生气。,厌恶
你这个周末有空吗？我们可以去看看新上映的电影。,平静
你看过那部《红衣小女孩》电影吗？它真的很可怕，让我整晚都睡不着。,平静
今天那个老师超级讨厌的,厌恶
我很担心自己长不高，该怎么办？,平静
你为什么这么讨厌啊,厌恶
周末要不要去玩剧本杀啊,平静
晚餐要吃什么。,平静
你知道陈思愷约我去网咖，结果放鸟我。,生气
哇，你为什么脸色这么差？你昨天有睡觉吗？,惊讶
好无聊哦,平静
昨天那场地震真可怕。,平静
昨天我看了那部恐怖电影，让我睡不着觉。,平静
昨天看了那部恐怖电影《咒害》，让我睡不着觉。,平静
我好想我的女朋友。,伤心
你知道吗，我们今天班费被偷了呢。,平静
今天陈思愷真是太过分了。,生气
有没有推荐的歌？,平静
我想向陈允熙表白，你能帮我吗？,平静
哎哎哎，我跟你说哦。,平静
我觉得今天午餐超难吃。,厌恶
我今天听到一首好听的歌哦。,开心
今天真的非常热。,生气
今天我真的非常累。,厌恶
我想不出来吃什么？,伤心
我今天基本电学考试表现很糟糕。,生气
糟了！我找不到我的耳机。,惊讶
中秋节要不要烤肉,开心
好饱哦,平静
我的老板太冲动了。,厌恶
太吝啬了，什么钱都省着花。,伤心
我前老板就不小气。,惊讶
最近压力有点大。,伤心
最近的学业压力让我感到很累。,厌恶
他的歌声很难听。,生气
为什么人可以这样愚蠢。,生气
你今天看起来很累哦。,平静
有风啊！好凉啊！,开心
